razao_social,cnpj,contato,telefone,email
Dell Computadores do Brasil Ltda,72.381.189/0001-10,Marcos Pereira,(11) 4004-0000,corporativo@dell.exemplo.br
Lenovo Tecnologia Brasil Ltda,07.275.920/0001-61,Ana Beatriz Souza,(11) 3958-0000,vendas@lenovo.exemplo.br
HP Brasil Industria e Comercio,61.797.924/0001-55,Ricardo Alves,(11) 3004-0000,contas@hp.exemplo.br
Positivo Tecnologia S.A.,81.243.735/0001-48,Fernanda Lima,(41) 3316-0000,corporativo@positivo.exemplo.br
Cisco do Brasil Ltda,01.480.353/0001-57,Paulo Menezes,(11) 5508-0000,br-sales@cisco.exemplo.br
Intelbras S.A.,82.901.000/0001-27,Juliana Castro,(48) 2106-0000,vendas@intelbras.exemplo.br
Samsung Eletronica da Amazonia,00.280.273/0001-37,Carlos Eduardo Reis,(11) 5644-0000,b2b@samsung.exemplo.br
APC by Schneider Electric Brasil,33.126.412/0001-70,Renata Barbosa,(11) 2165-0000,apc@schneider.exemplo.br
Microsoft Informatica Ltda,60.316.817/0001-03,Tiago Nogueira,(11) 5504-0000,licenciamento@microsoft.exemplo.br
Adobe Systems Brasil Ltda,04.723.583/0001-02,Mariana Pires,(11) 3054-0000,vlp@adobe.exemplo.br
TechSupri Distribuidora de TI Ltda,18.442.907/0001-84,Jose Ferreira,(81) 3421-0000,comercial@techsupri.exemplo.br
Nordeste Solucoes Corporativas ME,29.115.660/0001-19,Sandra Melo,(81) 3033-0000,contato@nordestesol.exemplo.br
