software,fornecedor,chave_licenca,quantidade_contratada,data_aquisicao,data_expiracao,valor_total,tipo_licenciamento
Microsoft 365 Business Standard,Microsoft Informatica Ltda,Q7SXY-CTK8G-D45HG-GC8GL-HPZLU,50,2025-10-20,2026-10-13,9000.00,SUBSCRICAO
Microsoft Windows 11 Pro,Microsoft Informatica Ltda,KZXJH-N42AR-6XU8L-FTZ2Z-RK92Q,60,2024-09-20,2028-04-12,10800.00,OEM
Microsoft SQL Server Standard,Microsoft Informatica Ltda,9ZB4K-A9EFX-W1L3D-1CKD9-U21VW,20,2024-12-20,2028-01-16,17800.00,PERPETUA
Adobe Creative Cloud,Adobe Systems Brasil Ltda,K14P4-Y1NVF-CX0J9-UPF8V-9XLBB,40,2026-01-20,2027-09-01,56000.00,SUBSCRICAO
Adobe Acrobat Pro,Adobe Systems Brasil Ltda,38HDZ-S8YHD-H4VA5-XRQYV-UJ09R,80,2024-07-20,2027-08-10,43200.00,SUBSCRICAO
AutoCAD LT,TechSupri Distribuidora de TI Ltda,Z5GK3-2FFD3-J6P4E-Z9191-S7347,15,2025-03-20,2026-07-08,4800.00,SUBSCRICAO
CorelDRAW Graphics Suite,TechSupri Distribuidora de TI Ltda,5J89H-P56CL-ZH2HH-ZUC9K-HZVZV,50,2025-08-20,2027-03-02,44500.00,PERPETUA
JetBrains All Products Pack,TechSupri Distribuidora de TI Ltda,K2DVU-PM7AH-YEC26-V4X06-JJ854,30,2024-10-20,2026-12-17,9600.00,SUBSCRICAO
Kaspersky Endpoint Security,Nordeste Solucoes Corporativas ME,20Q1X-C4TFL-BVHFN-D9N68-BHMBT,60,2025-09-20,2027-10-18,84000.00,SUBSCRICAO
Veeam Backup Essentials,Nordeste Solucoes Corporativas ME,W1C7B-X3M2B-9W0SF-HGLUK-MSFKV,25,2025-06-20,2028-07-04,4500.00,PERPETUA
VMware vSphere Standard,Nordeste Solucoes Corporativas ME,WMBDV-0GWK2-WS0HD-NRR78-80HTD,50,2024-04-20,2027-05-11,70000.00,PERPETUA
Zoom Workplace Business,TechSupri Distribuidora de TI Ltda,6B2QB-TGRJV-24F8P-KZLR3-4CA5U,40,2024-11-20,2026-07-04,7200.00,SUBSCRICAO
Slack Pro,TechSupri Distribuidora de TI Ltda,TS0YP-8UCLE-VF1HJ-T3P8W-XS4TR,20,2026-01-20,2027-01-18,17800.00,SUBSCRICAO
Atlassian Jira Software,TechSupri Distribuidora de TI Ltda,XBJA6-AAM27-1FEB4-HY0Y0-MAH5Z,40,2025-03-20,2027-06-22,56000.00,SUBSCRICAO
TeamViewer Corporate,Nordeste Solucoes Corporativas ME,BTYNF-VQQ7Z-CT7PA-N1HT8-7LNME,25,2024-11-20,2026-11-28,65000.00,SUBSCRICAO
Nitro PDF Pro,TechSupri Distribuidora de TI Ltda,Q9TNB-S5A3D-W32TH-957Z9-CQDT2,100,2025-09-20,2027-01-24,54000.00,PERPETUA
SolarWinds NPM,Nordeste Solucoes Corporativas ME,NXFBQ-3ERNL-XVEGB-63BXS-RG6RX,80,2024-11-20,2027-10-08,71200.00,PERPETUA
Oracle Database Standard,Nordeste Solucoes Corporativas ME,4G4HF-DC0WE-JD4DV-3EGDD-U01G2,10,2025-03-20,2028-05-04,1800.00,PERPETUA
Red Hat Enterprise Linux,Nordeste Solucoes Corporativas ME,053GX-B59XN-GGAEN-J8SY2-64MRJ,25,2024-06-20,2026-10-19,22250.00,SUBSCRICAO
Bitdefender GravityZone,Nordeste Solucoes Corporativas ME,38YVK-K6VXU-ZA9KD-R8D3Y-NNNEX,10,2025-12-20,2027-03-29,14000.00,SUBSCRICAO
Docusign Business Pro,TechSupri Distribuidora de TI Ltda,5XXV2-XLG5C-7QAQQ-5PR6X-0P1MA,25,2024-04-20,2028-03-20,65000.00,SUBSCRICAO
Tableau Creator,TechSupri Distribuidora de TI Ltda,HKU4N-ZCBNN-UMQSM-XRMNB-MSGBJ,40,2026-01-20,2027-02-02,7200.00,SUBSCRICAO
SAP Crystal Reports,Nordeste Solucoes Corporativas ME,PV5RZ-ZL93E-HKJNN-0ZW3R-CNUKW,50,2024-05-20,2028-01-26,27000.00,PERPETUA
Figma Organization,TechSupri Distribuidora de TI Ltda,7PF6E-L808Z-795MW-Z9676-T1CPQ,25,2025-12-20,2027-06-10,35000.00,SUBSCRICAO
Notion Business,TechSupri Distribuidora de TI Ltda,V30LZ-SFJFU-49YQC-58X34-532Z7,25,2024-11-20,2026-10-01,8000.00,SUBSCRICAO
